ATC_level,Group,Description ,中文,Malignancy,P0,P1,P2,P3,P3.num,Event_Nonregular_user,Event_Regular_user,HR_multip0,HR_multip1,HR_multip2,HR_multip3,FDR
Level 2,A01,Stomatological preparations,口腔科制剂,cancer,<0.001,<0.001,<0.001,0.957,0.95679915,40134(10.08%),9543(14.53%),1.491(1.458-1.525),1.08(1.055-1.105),1.051(1.026-1.075),0.999(0.975-1.024),0.967180909
Level 2,A02,Drugs for acid-related disorders,与酸有关的疾病的药物,cancer,<0.001,<0.001,<0.001,0.045,0.045439471,42581(10.37%),7096(13.31%),1.321(1.288-1.355),1.108(1.08-1.136),1.069(1.042-1.096),1.027(1.001-1.055),0.116844354
Level 2,A03,Drugs for functional gastrointestinal disorders,胃肠道功能紊乱的药物,cancer,0.008,0.054,0.197,0.815,0.815299278,49031(10.7%),646(11.71%),1.11(1.027-1.2),1.079(0.999-1.166),1.053(0.974-1.138),1.009(0.934-1.091),0.923728261
Level 2,A06,Laxatives,泻药,cancer,<0.001,0.442,0.782,0.386,0.386167431,48773(10.69%),904(12.25%),1.161(1.087-1.24),1.026(0.961-1.096),1.009(0.945-1.078),0.971(0.909-1.038),0.534693366
Level 2,A07,"Antidiarrheals, intestinal anti-inflammatory/anti-infective agents",止泻剂、肠道抗炎、抗感染剂,cancer,<0.001,<0.001,<0.001,0.008,0.008006457,47570(10.63%),2107(12.82%),1.241(1.188-1.296),1.124(1.076-1.174),1.107(1.059-1.156),1.062(1.016-1.11),0.03088205
Level 2,A08,"Antiobesity preparations, excluding diet products",抗肥胖制剂，不包括减肥产品,cancer,0.851,0.231,0.753,0.806,0.806422022,49552(10.71%),125(10.8%),1.017(0.853-1.212),1.113(0.934-1.327),1.029(0.863-1.227),0.978(0.82-1.167),0.923728261
Level 2,A10,Drugs used in diabetes,用于糖尿病的药物,cancer,<0.001,<0.001,<0.001,0.291,0.290916049,47232(10.58%),2445(14.11%),1.417(1.361-1.476),1.158(1.111-1.206),1.105(1.06-1.152),0.962(0.895-1.034),0.42458018
Level 2,A11,Vitamins,维生素类,cancer,<0.001,0.159,0.721,0.861,0.860814934,44002(10.63%),5675(11.41%),1.048(1.02-1.078),0.98(0.953-1.008),0.995(0.968-1.023),0.998(0.97-1.026),0.938106868
Level 2,A12,Mineral supplements,矿物质补充剂,cancer,0.021,0.003,0.022,0.004,0.003582248,47442(10.69%),2235(11.17%),1.051(1.007-1.097),0.937(0.898-0.978),0.951(0.911-0.993),0.938(0.898-0.979),0.019344141
Level 2,B01,Antithrombotic agents,抗血栓剂,cancer,<0.001,<0.001,<0.001,0.569,0.569252451,39366(9.99%),10311(14.81%),1.545(1.512-1.579),1.094(1.069-1.119),1.063(1.039-1.087),1.007(0.983-1.032),0.731896009
Level 2,B03,Antianemic preparations,抗贫血制剂,cancer,0.001,<0.001,<0.001,0.007,0.006547241,48461(10.69%),1216(11.5%),1.1(1.039-1.165),1.142(1.079-1.209),1.124(1.061-1.19),1.083(1.022-1.147),0.029462586
Level 2,C01,Cardiac therapy,心脏病治疗,cancer,<0.001,0.005,0.251,0.869,0.86861747,42778(10.8%),6899(10.18%),0.944(0.921-0.969),1.037(1.011-1.064),1.015(0.989-1.041),0.998(0.973-1.024),0.938106868
Level 2,C02,Antihypertensives,抗高血压药,cancer,<0.001,<0.001,<0.001,0.001,0.00104425,48587(10.63%),1090(16.65%),1.658(1.561-1.76),1.214(1.143-1.289),1.179(1.11-1.253),1.108(1.042-1.178),0.008184893
Level 2,C03,Diuretics,利尿剂,cancer,<0.001,<0.001,<0.001,0.02,0.019706253,44406(10.37%),5271(14.9%),1.501(1.458-1.544),1.13(1.097-1.163),1.102(1.07-1.135),1.039(1.006-1.073),0.053568986
Level 2,C05,Vasoprotectives,血管保护剂,cancer,<0.001,<0.001,<0.001,0.187,0.18664147,48407(10.64%),1270(14.75%),1.466(1.386-1.549),1.156(1.093-1.222),1.113(1.052-1.177),1.039(0.982-1.1),0.335954646
Level 2,C07,Beta-blocking agents,β-阻断剂,cancer,<0.001,<0.001,<0.001,0.821,0.821091788,44938(10.41%),4739(14.79%),1.478(1.435-1.523),1.092(1.06-1.126),1.066(1.034-1.099),1.004(0.972-1.036),0.923728261
Level 2,C08,Calcium channel blockers,钙通道阻断剂,cancer,<0.001,<0.001,<0.001,<0.001,7.07E-05,44512(10.34%),5165(15.58%),1.593(1.547-1.639),1.158(1.125-1.193),1.131(1.098-1.164),1.068(1.034-1.103),0.000764048
Level 2,C09,Agents acting on the renin-angiotensin system,作用于肾素-血管紧张素系统的药物,cancer,<0.001,<0.001,<0.001,0.003,0.002578442,40211(10.06%),9466(14.74%),1.535(1.501-1.569),1.137(1.112-1.164),1.116(1.091-1.143),1.045(1.016-1.076),0.017404481
Level 2,C10,Lipid-modifying agents,脂质调节剂,cancer,<0.001,<0.001,<0.001,0.792,0.791912882,36513(9.82%),13164(14.34%),1.516(1.486-1.547),1.077(1.055-1.1),1.051(1.03-1.074),0.997(0.974-1.02),0.923728261
Level 2,D01,Antifungals for dermatological use,用于皮肤科的抗真菌剂,cancer,0.043,0.834,0.997,0.719,0.719342791,49411(10.71%),266(12%),1.132(1.004-1.277),1.013(0.898-1.143),1(0.886-1.128),0.978(0.867-1.104),0.882829788
Level 2,D02,Emollients and protectives,润肤剂和保护剂,cancer,<0.001,0.011,0.042,0.218,0.218478427,49321(10.69%),356(13.7%),1.333(1.201-1.479),1.145(1.032-1.271),1.115(1.004-1.237),1.068(0.962-1.186),0.346995148
Level 2,D05,Antipsoriatics,抗瘙痒剂,cancer,<0.001,<0.001,0.004,0.009,0.009093029,49433(10.7%),244(13.72%),1.307(1.153-1.482),1.246(1.099-1.413),1.203(1.06-1.364),1.182(1.043-1.341),0.032734904
Level 2,D06,Antibiotics and chemotherapeutics for dermatological use,皮肤科用抗生素和化疗药,cancer,0.401,0.304,0.331,0.446,0.446109576,49389(10.71%),288(11.33%),1.051(0.936-1.18),1.063(0.946-1.193),1.059(0.943-1.189),1.046(0.932-1.175),0.602247928
Level 2,D07,"Corticosteroids, dermatological preparations",皮质类固醇，皮肤病制剂,cancer,<0.001,<0.001,0.001,0.132,0.131933834,47456(10.64%),2221(12.49%),1.203(1.153-1.256),1.087(1.042-1.135),1.073(1.028-1.12),1.034(0.99-1.079),0.276633332
Level 2,D11,Other dermatological preparations,其他皮肤病制剂,cancer,<0.001,0.018,0.04,0.121,0.120720347,47289(10.67%),2388(11.63%),1.08(1.037-1.125),1.051(1.009-1.095),1.044(1.002-1.088),1.033(0.991-1.077),0.271620781
Level 2,G01,Gynecological anti-infectives and antiseptics,妇科抗感染药和防腐剂,cancer,0.004,0.051,0.058,0.145,0.144665138,49198(10.7%),479(12.18%),1.142(1.044-1.25),1.094(1-1.197),1.091(0.997-1.194),1.069(0.977-1.17),0.278997052
Level 2,G02,Other gynecologicals,其他妇科药物,cancer,<0.001,0.907,0.258,0.2,0.200353958,43997(10.94%),5680(9.23%),0.837(0.814-0.86),1.002(0.974-1.03),0.984(0.957-1.012),0.982(0.955-1.01),0.338097304
Level 2,G03,Sex hormones and modulators of the genital system,性激素和生殖系统的调节剂,cancer,<0.001,<0.001,<0.001,<0.001,3.85E-13,47383(10.76%),2294(9.74%),0.895(0.858-0.933),1.183(1.133-1.235),1.18(1.13-1.232),1.173(1.124-1.225),2.08E-11
Level 2,G04,Urologicals,泌尿系统药物,cancer,<0.001,<0.001,<0.001,<0.001,6.86E-06,47681(10.55%),1996(16.76%),1.685(1.611-1.762),1.153(1.102-1.206),1.14(1.089-1.193),1.11(1.061-1.162),9.27E-05
Level 2,H02,Corticosteroids for systemic use,全身使用的皮质类固醇药物,cancer,<0.001,<0.001,<0.001,0.001,0.001061005,48962(10.68%),715(13.92%),1.376(1.278-1.482),1.217(1.131-1.311),1.193(1.108-1.284),1.132(1.051-1.22),0.008184893
Level 2,H03,Thyroid therapy,甲状腺治疗,cancer,0.021,<0.001,<0.001,<0.001,4.06E-08,47120(10.74%),2557(10.22%),0.954(0.917-0.993),0.921(0.884-0.958),0.909(0.873-0.947),0.893(0.857-0.93),7.31E-07
Level 2,J01,Antibacterials for systemic use,全身使用的抗菌剂,cancer,0.01,0.01,0.032,0.136,0.136361565,49027(10.7%),650(11.71%),1.107(1.025-1.196),1.107(1.025-1.196),1.089(1.008-1.176),1.061(0.982-1.146),0.276633332
Level 2,L01,Antineoplastic agents,抗肿瘤药,cancer,<0.001,<0.001,<0.001,0.017,0.017336573,49242(10.69%),435(13.94%),1.348(1.227-1.482),1.215(1.105-1.335),1.18(1.073-1.297),1.122(1.021-1.234),0.052009719
Level 2,L04,Immunosuppressive agents,免疫抑制剂,cancer,<0.001,<0.001,<0.001,<0.001,1.84E-08,49074(10.68%),603(14.66%),1.446(1.334-1.567),1.375(1.269-1.49),1.338(1.235-1.451),1.262(1.164-1.369),4.97E-07
Level 2,M01,Anti-inflammatory and antirheumatic products,抗炎和抗风湿产品,cancer,<0.001,0.128,0.021,0.007,0.007464995,39218(10.79%),10459(10.44%),0.958(0.938-0.979),0.983(0.962-1.005),0.975(0.954-0.996),0.971(0.95-0.992),0.03088205
Level 2,M02,Topical products for joint and muscular pain,治疗关节和肌肉疼痛的外用产品,cancer,<0.001,0.492,0.307,0.138,0.138316666,42834(10.88%),6843(9.77%),0.893(0.87-0.916),1.009(0.984-1.035),0.987(0.962-1.012),0.981(0.956-1.006),0.276633332
Level 2,M04,Antigout preparations,抗痛风制剂,cancer,<0.001,<0.001,0.004,0.065,0.064750403,48832(10.65%),845(16.04%),1.599(1.494-1.712),1.145(1.069-1.226),1.105(1.032-1.184),1.067(0.996-1.143),0.158932808
Level 2,M05,Drugs for the treatment of bone diseases,治疗骨病的药物,cancer,<0.001,0.017,0.033,0.005,0.005091362,48831(10.69%),846(11.81%),1.144(1.069-1.224),0.92(0.859-0.985),0.928(0.867-0.994),0.907(0.846-0.971),0.024993959
Level 2,N02,Analgesics,镇痛剂,cancer,<0.001,<0.001,0.002,0.237,0.237210679,31622(10.09%),18055(12.01%),1.208(1.186-1.23),1.068(1.048-1.088),1.03(1.011-1.05),0.988(0.969-1.008),0.365982191
Level 2,N03,Antiepileptics,抗癫痫药,cancer,<0.001,<0.001,0.007,0.198,0.198059507,48739(10.69%),938(12.18%),1.18(1.106-1.258),1.142(1.07-1.218),1.093(1.024-1.166),1.044(0.978-1.114),0.338097304
Level 2,N04,Anti-Parkinson drugs,抗帕金森病药物,cancer,0.002,0.587,0.699,0.916,0.915932705,49510(10.71%),167(12.46%),1.271(1.092-1.48),1.043(0.896-1.214),1.03(0.885-1.2),0.992(0.852-1.155),0.967180909
Level 2,N05,Psycholeptics,精神疗法,cancer,<0.001,<0.001,0.003,0.071,0.070840235,48649(10.68%),1028(12.68%),1.23(1.156-1.308),1.183(1.112-1.258),1.1(1.034-1.171),1.059(0.995-1.128),0.166320552
Level 2,N06,Psychoanaleptics,精神病学药物,cancer,<0.001,<0.001,<0.001,0.213,0.213424124,45547(10.67%),4130(11.25%),1.064(1.031-1.099),1.107(1.072-1.143),1.057(1.024-1.092),1.021(0.988-1.055),0.346995148
Level 2,N07,Other nervous system drugs,其他神经系统药物,cancer,<0.001,0.103,0.468,0.967,0.967180909,49350(10.7%),327(12.77%),1.23(1.103-1.371),1.095(0.982-1.221),1.041(0.934-1.161),1.002(0.899-1.118),0.967180909
Level 2,P01,Antiprotozoals,抗原生动物药,cancer,<0.001,<0.001,<0.001,0.01,0.010217934,49049(10.67%),628(15.46%),1.521(1.406-1.646),1.224(1.132-1.325),1.171(1.082-1.267),1.11(1.025-1.201),0.034485527
Level 2,R01,Nasal preparations,鼻部制剂,cancer,<0.001,0.013,0.017,0.488,0.488120281,46951(10.64%),2726(12.07%),1.157(1.113-1.203),1.05(1.01-1.091),1.048(1.009-1.09),1.014(0.975-1.054),0.642890126
Level 2,R02,Throat preparations,喉部制剂,cancer,<0.001,0.977,0.276,0.259,0.258941636,44360(10.93%),5317(9.19%),0.833(0.809-0.857),1(0.972-1.029),0.984(0.956-1.013),0.984(0.956-1.012),0.388412454
Level 2,R03,Drugs for obstructive airway diseases,阻塞性气道疾病的药物,cancer,<0.001,<0.001,<0.001,0.173,0.173120733,45305(10.61%),4372(11.88%),1.139(1.104-1.175),1.091(1.057-1.125),1.065(1.032-1.098),1.023(0.99-1.056),0.322362745
Level 2,R05,Cough and cold preparations,咳嗽和感冒制剂,cancer,<0.001,0.011,0.15,0.643,0.643127021,49328(10.7%),349(13.03%),1.276(1.148-1.418),1.146(1.031-1.273),1.081(0.972-1.201),1.025(0.922-1.14),0.807647887
Level 2,R06,Antihistamines for systemic use,全身使用的抗组胺药,cancer,0.123,0.894,0.862,0.3,0.300338665,48150(10.73%),1527(10.3%),0.961(0.913-1.011),0.997(0.947-1.049),0.995(0.946-1.048),0.973(0.925-1.024),0.426797051
Level 2,S01,Ophthalmologicals,眼科药物,cancer,<0.001,<0.001,<0.001,0.02,0.019840365,45990(10.57%),3687(12.86%),1.239(1.199-1.282),1.082(1.046-1.119),1.067(1.031-1.103),1.041(1.006-1.077),0.053568986
Level 2,S02,Otologicals,耳科药物,cancer,<0.001,<0.001,<0.001,0.012,0.011988131,48951(10.68%),726(13.43%),1.318(1.225-1.418),1.177(1.094-1.267),1.153(1.072-1.241),1.099(1.021-1.183),0.038079946
Level 2,S03,Ophthalmological and otological preparations,眼科和耳科制剂,cancer,<0.001,<0.001,<0.001,0.004,0.003578176,49125(10.68%),552(14.24%),1.415(1.302-1.539),1.226(1.127-1.333),1.198(1.102-1.303),1.134(1.042-1.234),0.019344141
Level 2,V03,All other therapeutic products,所有其他治疗产品,cancer,0.032,0.401,0.593,0.934,0.934232337,49551(10.71%),126(12.41%),1.21(1.016-1.442),1.078(0.905-1.284),1.049(0.881-1.249),0.993(0.833-1.183),0.967180909
Level 3,A01A,Stomatological preparations,口腔科制剂,cancer,<0.001,<0.001,<0.001,0.957,0.95679915,40134(10.08%),9543(14.53%),1.491(1.458-1.525),1.08(1.055-1.105),1.051(1.026-1.075),0.999(0.975-1.024),0.967087313
Level 3,A02B,Drugs for peptic ulcer and gastroesophageal reflux disease (GERD),消化性溃疡和胃食管反流病（GERD）药物,cancer,<0.001,<0.001,<0.001,0.052,0.052032584,42648(10.38%),7029(13.31%),1.321(1.288-1.355),1.107(1.079-1.136),1.068(1.041-1.096),1.027(1-1.054),0.188117802
Level 3,A03A,Antispasmodics and anticholinergics,抗痉挛剂和抗胆碱能剂,cancer,0.779,0.919,0.655,0.243,0.242696371,49276(10.71%),401(10.86%),1.014(0.919-1.119),0.995(0.902-1.098),0.978(0.886-1.079),0.943(0.854-1.041),0.414790162
Level 3,A03F,Propulsives,推进剂,cancer,<0.001,0.001,0.009,0.063,0.062707318,49478(10.7%),199(13.63%),1.339(1.165-1.539),1.253(1.09-1.441),1.205(1.049-1.386),1.142(0.993-1.313),0.20799425
Level 3,A06A,Laxatives,泻药,cancer,<0.001,0.442,0.782,0.386,0.386167431,48773(10.69%),904(12.25%),1.161(1.087-1.24),1.026(0.961-1.096),1.009(0.945-1.078),0.971(0.909-1.038),0.541787142
Level 3,A07D,Antipropulsives,抗惊厥剂,cancer,<0.001,0.003,0.022,0.113,0.113267652,49458(10.7%),219(14.08%),1.363(1.193-1.556),1.22(1.068-1.393),1.168(1.022-1.333),1.114(0.975-1.272),0.280188401
Level 3,A07E,Intestinal anti-inflammatory/anti-infective agents,肠道抗炎/抗感染剂,cancer,<0.001,<0.001,<0.001,0.008,0.008314922,47750(10.64%),1927(12.8%),1.238(1.183-1.296),1.123(1.073-1.176),1.109(1.059-1.161),1.064(1.016-1.114),0.041136981
Level 3,A08A,"Antiobesity preparations, excluding diet products",抗肥胖制剂，不包括减肥产品,cancer,0.851,0.231,0.753,0.806,0.806422022,49552(10.71%),125(10.8%),1.017(0.853-1.212),1.113(0.934-1.327),1.029(0.863-1.227),0.978(0.82-1.167),0.861405342
Level 3,A10A,Insulins and analogs,胰岛素和类似物,cancer,<0.001,<0.001,<0.001,0.222,0.22152503,49002(10.68%),675(13.88%),1.412(1.309-1.524),1.237(1.146-1.334),1.187(1.1-1.281),1.054(0.969-1.147),0.392893449
Level 3,A10B,"Blood glucose-lowering drugs, excluding insulins",降血糖药，不包括胰岛素类药物,cancer,<0.001,<0.001,<0.001,0.268,0.268408508,47552(10.59%),2125(14.4%),1.44(1.378-1.504),1.153(1.104-1.205),1.097(1.049-1.147),0.963(0.9-1.03),0.435006892
Level 3,A11A,"Multivitamins, combinations",复合维生素，组合物,cancer,0.27,0.717,0.403,0.336,0.336114098,48986(10.71%),691(10.7%),0.959(0.889-1.033),1.014(0.941-1.093),1.033(0.958-1.113),1.038(0.962-1.119),0.507599407
Level 3,A11B,"Vitamins, plain",维生素，普通,cancer,0.044,0.251,0.475,0.618,0.617969128,48179(10.72%),1498(10.44%),0.949(0.901-0.999),0.97(0.922-1.022),0.981(0.932-1.033),0.987(0.937-1.039),0.735305038
Level 3,A11C,Vitamin B1,维生素B1,cancer,<0.001,0.001,0.031,0.072,0.072370819,46434(10.64%),3243(11.83%),1.085(1.047-1.124),0.943(0.91-0.977),0.961(0.928-0.996),0.968(0.934-1.003),0.212827755
Level 3,A11E,"Vitamin B-complex, including combinations",维生素B群，包括组合物,cancer,0.177,0.039,0.101,0.196,0.196328371,49302(10.71%),375(11.43%),1.073(0.969-1.187),1.113(1.005-1.232),1.089(0.984-1.205),1.069(0.966-1.184),0.358030646
Level 3,A11G,"Ascorbic acid (vitamin C), including combinations",抗坏血酸（维生素C），包括组合物,cancer,0.6,0.917,0.63,0.683,0.682937355,48824(10.7%),853(11.2%),1.018(0.952-1.09),1.004(0.938-1.074),1.017(0.95-1.088),1.014(0.948-1.085),0.776224593
Level 3,A11H,Other plain vitamin preparations,其他普通维生素制剂,cancer,0.939,0.306,0.512,0.464,0.464285074,49356(10.71%),321(10.98%),0.996(0.892-1.111),0.944(0.846-1.054),0.964(0.864-1.076),0.96(0.86-1.071),0.606149958
Level 3,A12A,Calcium,钙,cancer,0.023,0.003,0.018,0.002,0.002200012,47909(10.7%),1768(11.12%),1.056(1.007-1.108),0.93(0.886-0.976),0.943(0.899-0.99),0.927(0.884-0.973),0.015907777
Level 3,A12C,Other mineral supplements,其他矿物质补充剂,cancer,0.574,0.095,0.219,0.249,0.248830832,49157(10.71%),520(10.8%),0.976(0.895-1.064),0.929(0.852-1.013),0.947(0.869-1.033),0.95(0.872-1.036),0.417680325
Level 3,B01A,Antithrombotic agents,抗血栓剂,cancer,<0.001,<0.001,<0.001,0.569,0.569252451,39366(9.99%),10311(14.81%),1.545(1.512-1.579),1.094(1.069-1.119),1.063(1.039-1.087),1.007(0.983-1.032),0.713463072
Level 3,B03A,Iron preparations,铁制剂,cancer,0.067,0.017,0.018,0.104,0.103692121,49217(10.72%),460(9.7%),0.918(0.837-1.006),1.119(1.02-1.226),1.118(1.019-1.225),1.08(0.984-1.184),0.27075165
Level 3,B03B,Vitamin B12 and folic acid,维生素B12和叶酸,cancer,<0.001,<0.001,<0.001,0.023,0.022630152,48874(10.68%),803(12.88%),1.241(1.158-1.331),1.158(1.08-1.242),1.128(1.052-1.21),1.085(1.012-1.164),0.088634762
Level 3,C01A,Cardiac glycosides,强心剂,cancer,<0.001,0.059,0.148,0.604,0.603997756,49487(10.7%),190(16.54%),1.802(1.562-2.077),1.147(0.995-1.323),1.111(0.963-1.282),1.039(0.9-1.198),0.727894732
Level 3,C01B,"Antiarrhythmics, class I and III",抗心律失常药物，I类和III类,cancer,<0.001,0.017,0.013,0.064,0.064486216,49480(10.7%),197(16.33%),1.631(1.418-1.876),1.186(1.031-1.364),1.195(1.039-1.375),1.141(0.992-1.313),0.20799425
Level 3,C01D,Vasodilators used in cardiac diseases,用于心脏疾病的血管扩张剂,cancer,<0.001,<0.001,0.007,0.984,0.983535685,48722(10.64%),955(16.77%),1.7(1.595-1.813),1.162(1.09-1.239),1.093(1.024-1.166),0.999(0.935-1.068),0.983535685
Level 3,C01E,Other cardiac preparations,其他心脏制剂,cancer,<0.001,0.455,0.73,0.603,0.602831581,44002(10.91%),5675(9.4%),0.854(0.831-0.878),1.011(0.983-1.039),0.995(0.968-1.023),0.993(0.965-1.021),0.727894732
Level 3,C02A,"Antiadrenergic agents, centrally acting",中枢作用的抗肾上腺素能剂,cancer,0.003,0.047,0.117,0.36,0.360427779,49542(10.71%),135(13.41%),1.291(1.09-1.528),1.186(1.002-1.405),1.145(0.967-1.356),1.082(0.914-1.282),0.519264767
Level 3,C02C,"Antiadrenergic agents, peripherally acting",抗肾上腺素能剂，外围作用,cancer,<0.001,<0.001,<0.001,<0.001,0.000961581,48704(10.63%),973(17.33%),1.737(1.63-1.851),1.223(1.148-1.304),1.189(1.115-1.268),1.116(1.045-1.19),0.009038857
Level 3,C03A,Low-ceiling diuretics,低上限利尿剂,cancer,<0.001,<0.001,<0.001,0.865,0.864566162,45614(10.47%),4063(14.5%),1.421(1.376-1.467),1.079(1.045-1.115),1.061(1.027-1.096),1.003(0.968-1.039),0.913137294
Level 3,C03B,"Sulfonamides, plain",磺胺类药物，普通,cancer,<0.001,0.033,0.073,0.431,0.431405548,49424(10.7%),253(15.22%),1.502(1.328-1.7),1.144(1.011-1.295),1.12(0.989-1.267),1.051(0.928-1.19),0.579316021
Level 3,C03C,High-ceiling diuretics,高位利尿剂,cancer,<0.001,<0.001,<0.001,<0.001,0.000129581,48905(10.65%),772(17.07%),1.829(1.703-1.964),1.349(1.256-1.448),1.26(1.173-1.354),1.154(1.072-1.241),0.001522582
Level 3,C03D,Potassium-sparing agents,保钾剂,cancer,<0.001,<0.001,<0.001,0.022,0.021899623,49506(10.7%),171(15.98%),1.783(1.534-2.072),1.378(1.186-1.601),1.304(1.122-1.515),1.193(1.026-1.388),0.088634762
Level 3,C05A,Agents for treatment of hemorrhoids and anal fissures for topical use,局部使用的治疗痔疮和肛裂的药剂,cancer,<0.001,<0.001,<0.001,0.176,0.175592616,48415(10.64%),1262(14.77%),1.468(1.388-1.552),1.158(1.095-1.224),1.114(1.053-1.179),1.04(0.982-1.102),0.33685114
Level 3,C07A,Beta-blocking agents,β-阻断剂,cancer,<0.001,<0.001,<0.001,0.634,0.634110813,45108(10.42%),4569(14.84%),1.482(1.437-1.527),1.097(1.063-1.131),1.07(1.037-1.104),1.008(0.976-1.041),0.735881684
Level 3,C08C,Selective calcium channel blockers with mainly vascular effects,主要具有血管作用的选择性钙通道阻断剂,cancer,<0.001,<0.001,<0.001,<0.001,5.58E-06,45126(10.38%),4551(15.65%),1.59(1.543-1.639),1.166(1.13-1.202),1.14(1.105-1.176),1.082(1.046-1.119),8.75E-05
Level 3,C08D,Non-selective calcium channel blockers,非选择性钙通道阻滞剂,cancer,<0.001,0.047,0.277,0.499,0.499287747,49058(10.67%),619(15.17%),1.508(1.394-1.633),1.084(1.001-1.173),1.045(0.965-1.132),0.973(0.898-1.054),0.634230381
Level 3,C09A,"ACE inhibitors, plain",ACE抑制剂，普通,cancer,<0.001,<0.001,<0.001,0.035,0.034583697,43044(10.28%),6633(14.73%),1.5(1.462-1.54),1.128(1.099-1.158),1.105(1.076-1.135),1.033(1.002-1.064),0.130034699
Level 3,C09C,"Angiotensin II receptor blockers (ARBs), plain",血管紧张素II受体阻断剂（ARBs），普通型,cancer,<0.001,<0.001,<0.001,0.292,0.292103629,46977(10.55%),2700(14.72%),1.455(1.4-1.513),1.108(1.066-1.152),1.091(1.049-1.135),1.022(0.981-1.065),0.457629019
Level 3,C10A,"Lipid-modifying agents, plain",脂质调节剂，普通,cancer,<0.001,<0.001,<0.001,0.792,0.791912882,36513(9.82%),13164(14.34%),1.516(1.486-1.547),1.077(1.055-1.1),1.051(1.03-1.074),0.997(0.974-1.02),0.85563001
Level 3,D01A,Antifungals for topical use,局部使用的抗真菌药,cancer,0.051,0.87,0.96,0.685,0.6853898,49415(10.71%),262(11.95%),1.128(0.999-1.274),1.01(0.895-1.141),0.997(0.883-1.126),0.975(0.864-1.101),0.776224593
