ATC_level,Group,Description ,中文,Malignancy,P0,P1,P2,P3,P3.num,Event_Nonregular_user,Event_Regular_user,HR_multip0,HR_multip1,HR_multip2,HR_multip3,FDR
Level 3,D02A,Emollients and protectives,润肤剂和保护剂,cancer,<0.001,0.015,0.057,0.277,0.276561023,49330(10.7%),347(13.62%),1.328(1.195-1.476),1.139(1.025-1.266),1.108(0.997-1.232),1.061(0.954-1.179),0.440622647
Level 3,D05A,Antipsoriatics for topical use,局部使用的抗痉挛药,cancer,<0.001,<0.001,0.005,0.011,0.011006645,49444(10.7%),233(13.66%),1.301(1.144-1.48),1.242(1.092-1.412),1.202(1.056-1.367),1.182(1.039-1.344),0.051731233
Level 3,D06A,Antibiotics and chemotherapeutics for dermatological use,皮肤科用抗生素和化疗药,cancer,0.278,0.355,0.359,0.428,0.428478768,49487(10.71%),190(11.7%),1.082(0.938-1.248),1.069(0.927-1.233),1.069(0.927-1.233),1.059(0.919-1.221),0.579316021
Level 3,D07A,"Corticosteroids, plain",皮质类固醇，普通,cancer,<0.001,<0.001,0.003,0.234,0.234345369,47551(10.65%),2126(12.43%),1.197(1.146-1.25),1.081(1.035-1.129),1.067(1.022-1.115),1.027(0.983-1.073),0.40793453
Level 3,D07X,"Corticosteroids, other combinations:",皮质类固醇，其他组合：,cancer,<0.001,<0.001,0.005,0.14,0.139750614,48908(10.68%),769(13.15%),1.287(1.198-1.382),1.131(1.053-1.215),1.108(1.032-1.19),1.056(0.982-1.134),0.302189399
Level 3,D11A,Other dermatologicals:,其他皮肤科用药：,cancer,<0.001,0.018,0.04,0.121,0.120720347,47289(10.67%),2388(11.63%),1.08(1.037-1.125),1.051(1.009-1.095),1.044(1.002-1.088),1.033(0.991-1.077),0.28969207
Level 3,G01A,Anti-infectives and antiseptics for local oral treatment,用于局部口腔治疗的抗感染剂和防腐剂,cancer,0.004,0.051,0.058,0.145,0.144665138,49198(10.7%),479(12.18%),1.142(1.044-1.25),1.094(1-1.197),1.091(0.997-1.194),1.069(0.977-1.17),0.302189399
Level 3,G02B,Uterotonics,子宫肌瘤药,cancer,<0.001,<0.001,<0.001,<0.001,2.57E-05,49567(10.72%),110(7.27%),0.665(0.551-0.802),1.482(1.228-1.788),1.5(1.243-1.809),1.497(1.241-1.806),0.000344517
Level 3,G02C,Other gynecologicals,其他妇科药物,cancer,<0.001,0.786,0.125,0.092,0.092177405,44086(10.93%),5591(9.26%),0.841(0.818-0.865),0.996(0.969-1.024),0.978(0.951-1.006),0.976(0.949-1.004),0.254843414
Level 3,G03A,Hormonal contraceptives for systemic use,全身使用的荷尔蒙避孕药,cancer,<0.001,<0.001,<0.001,<0.001,7.08E-16,49348(10.76%),329(6.61%),0.595(0.534-0.663),1.533(1.373-1.712),1.572(1.408-1.755),1.573(1.409-1.757),6.65E-14
Level 3,G03C,Estrogens,雌性激素,cancer,0.007,0.872,0.895,0.897,0.89676962,48634(10.73%),1043(9.94%),0.919(0.864-0.977),1.005(0.945-1.07),1.004(0.944-1.069),0.996(0.936-1.06),0.936626048
Level 3,G03D,Progestogens,孕激素,cancer,<0.001,0.002,<0.001,0.001,0.001208846,49571(10.72%),106(7.9%),0.717(0.593-0.868),1.362(1.125-1.649),1.381(1.141-1.671),1.371(1.133-1.66),0.009469292
Level 3,G03F,Progestogens and estrogens in combination,孕激素和雌激素联合使用,cancer,0.011,<0.001,<0.001,<0.001,4.99E-14,48931(10.7%),746(11.73%),1.098(1.021-1.18),1.342(1.248-1.444),1.322(1.229-1.422),1.324(1.231-1.424),2.34E-12
Level 3,G04B,Urologicals,泌尿科,cancer,<0.001,0.063,0.331,0.948,0.947941086,48838(10.67%),839(13.66%),1.333(1.245-1.427),1.067(0.997-1.143),1.035(0.966-1.108),0.998(0.931-1.069),0.967087313
Level 3,G04C,Drugs used in benign prostatic hypertrophy,用于良性前列腺肥大的药物,cancer,<0.001,<0.001,<0.001,<0.001,3.45E-10,48448(10.59%),1229(20.02%),2.045(1.933-2.165),1.219(1.151-1.292),1.225(1.156-1.297),1.203(1.135-1.274),1.08E-08
Level 3,H02A,Corticosteroids for systemic use,全身使用的皮质类固醇药物,cancer,<0.001,<0.001,<0.001,0.001,0.001061005,48962(10.68%),715(13.92%),1.376(1.278-1.482),1.217(1.131-1.311),1.193(1.108-1.284),1.132(1.051-1.22),0.009066767
Level 3,H03A,Thyroid therapy,甲状腺治疗,cancer,0.019,<0.001,<0.001,<0.001,2.55E-08,47156(10.74%),2521(10.22%),0.953(0.916-0.992),0.918(0.881-0.956),0.907(0.871-0.944),0.891(0.855-0.928),4.79E-07
Level 3,J01A,Tetracyclines,四环素类药物,cancer,0.562,0.251,0.285,0.361,0.360780877,49400(10.71%),277(11.12%),1.036(0.92-1.165),1.072(0.952-1.206),1.067(0.948-1.2),1.057(0.939-1.189),0.519264767
Level 3,J01C,"Beta-lactam antibacterials, penicillins",β-内酰胺类抗菌剂，青霉素类,cancer,0.64,0.423,0.224,0.109,0.108698422,49568(10.71%),109(10.05%),0.956(0.792-1.154),0.926(0.767-1.117),0.89(0.737-1.074),0.857(0.71-1.035),0.276152749
Level 3,L01B,Alkylating agents,烷化剂,cancer,<0.001,<0.001,0.005,0.066,0.066381144,49329(10.7%),348(13.59%),1.312(1.181-1.458),1.198(1.078-1.331),1.164(1.047-1.293),1.104(0.993-1.228),0.20799425
Level 3,L04A,Immunosuppressants,免疫抑制剂,cancer,<0.001,<0.001,<0.001,<0.001,1.84E-08,49074(10.68%),603(14.66%),1.446(1.334-1.567),1.375(1.269-1.49),1.338(1.235-1.451),1.262(1.164-1.369),4.32E-07
Level 3,M01A,"Anti-inflammatory and antirheumatic products, non-steroids",抗炎和抗风湿产品，非甾体类药物,cancer,<0.001,0.134,0.023,0.008,0.008047701,39218(10.79%),10459(10.44%),0.958(0.938-0.979),0.984(0.963-1.005),0.975(0.954-0.996),0.971(0.95-0.992),0.041136981
Level 3,M02A,Topical products for joint and muscular pain,治疗关节和肌肉疼痛的外用产品,cancer,<0.001,0.492,0.307,0.138,0.138316666,42834(10.88%),6843(9.77%),0.893(0.87-0.916),1.009(0.984-1.035),0.987(0.962-1.012),0.981(0.956-1.006),0.302189399
Level 3,M04A,Antigout preparations,抗痛风制剂,cancer,<0.001,<0.001,0.004,0.065,0.064750403,48832(10.65%),845(16.04%),1.599(1.494-1.712),1.145(1.069-1.226),1.105(1.032-1.184),1.067(0.996-1.143),0.20799425
Level 3,M05B,Drugs affecting bone structure and mineralization,影响骨骼结构和矿化的药物,cancer,<0.001,0.017,0.033,0.005,0.005091362,48831(10.69%),846(11.81%),1.144(1.069-1.224),0.92(0.859-0.985),0.928(0.867-0.994),0.907(0.846-0.971),0.028819379
Level 3,N02A,Opioids,阿片类药物,cancer,<0.001,<0.001,0.001,0.598,0.598373789,46574(10.58%),3103(13.09%),1.267(1.222-1.314),1.145(1.104-1.188),1.064(1.025-1.104),1.01(0.973-1.05),0.727894732
Level 3,N02B,Other analgesics and antipyretics,其他镇痛剂和解热剂,cancer,<0.001,<0.001,0.021,0.1,0.100338802,33282(10.17%),16395(12%),1.196(1.174-1.219),1.054(1.034-1.074),1.023(1.003-1.042),0.983(0.964-1.003),0.269481354
Level 3,N02C,Antimigraine preparations,抗偏头痛制剂,cancer,0.007,0.412,0.353,0.478,0.477866967,49140(10.72%),537(9.73%),0.89(0.818-0.969),1.036(0.952-1.129),1.041(0.956-1.134),1.031(0.947-1.123),0.615335547
Level 3,N03A,Antiepileptics,抗癫痫药,cancer,<0.001,<0.001,0.007,0.198,0.198059507,48739(10.69%),938(12.18%),1.18(1.106-1.258),1.142(1.07-1.218),1.093(1.024-1.166),1.044(0.978-1.114),0.358030646
Level 3,N04B,Dopaminergic agents,多巴胺能制剂,cancer,0.024,0.64,0.66,0.365,0.364590156,49547(10.71%),130(11.9%),1.219(1.026-1.448),0.96(0.808-1.14),0.962(0.81-1.143),0.923(0.777-1.097),0.519264767
Level 3,N05A,Antipsychotics,抗精神病药物,cancer,<0.001,<0.001,<0.001,0.004,0.004145553,49217(10.7%),460(12.61%),1.222(1.115-1.34),1.258(1.148-1.379),1.176(1.072-1.289),1.144(1.044-1.255),0.026789665
Level 3,N05B,Anxiolytics,抗焦虑剂,cancer,<0.001,<0.001,0.011,0.085,0.084895489,49420(10.7%),257(13.34%),1.302(1.152-1.472),1.276(1.128-1.442),1.174(1.038-1.327),1.114(0.985-1.26),0.241823513
Level 3,N05C,Hypnotics and sedatives,催眠剂和镇静剂,cancer,<0.001,0.097,0.934,0.421,0.421376761,49279(10.7%),398(12.46%),1.207(1.093-1.332),1.087(0.985-1.2),1.004(0.91-1.109),0.96(0.869-1.06),0.579316021
Level 3,N06A,Antidepressants,抗抑郁药,cancer,<0.001,<0.001,<0.001,0.151,0.151036272,45858(10.67%),3819(11.18%),1.058(1.024-1.094),1.123(1.086-1.161),1.066(1.031-1.102),1.025(0.991-1.061),0.308639338
Level 3,N06D,Antidementia drugs,抗痴呆症药物,cancer,0.026,0.279,0.537,0.712,0.712124758,49359(10.7%),318(12.26%),1.134(1.015-1.266),0.941(0.843-1.051),0.966(0.865-1.079),0.979(0.877-1.094),0.796901515
Level 3,N07C,Antivertigo preparations,抗白癜风制剂,cancer,0.064,0.547,0.373,0.17,0.170365445,49472(10.71%),205(11.97%),1.138(0.992-1.306),0.959(0.836-1.1),0.939(0.819-1.078),0.908(0.792-1.042),0.33685114
Level 3,P01B,Antimalarials,抗疟药,cancer,<0.001,<0.001,<0.001,0.013,0.013335617,49082(10.67%),595(15.66%),1.547(1.427-1.678),1.228(1.132-1.331),1.171(1.08-1.27),1.109(1.022-1.203),0.05969276
Level 3,R01A,Decongestants and other nasal preparations for topical use,减充血剂和其他局部使用的鼻腔制剂,cancer,<0.001,0.011,0.014,0.458,0.457886292,46963(10.64%),2714(12.1%),1.16(1.116-1.206),1.051(1.011-1.093),1.05(1.01-1.091),1.015(0.976-1.056),0.606149958
Level 3,R02A,Throat preparations,喉部制剂,cancer,<0.001,0.977,0.276,0.259,0.258941636,44360(10.93%),5317(9.19%),0.833(0.809-0.857),1(0.972-1.029),0.984(0.956-1.013),0.984(0.956-1.012),0.427026558
Level 3,R03A,"Adrenergics, inhalants",肾上腺素药物、吸入剂,cancer,<0.001,<0.001,<0.001,0.072,0.072452002,46143(10.64%),3534(11.81%),1.13(1.092-1.17),1.111(1.074-1.15),1.078(1.041-1.115),1.033(0.997-1.071),0.212827755
Level 3,R03B,Other respiratory system products,其他呼吸系统产品,cancer,<0.001,<0.001,<0.001,0.143,0.142637026,47164(10.63%),2513(12.4%),1.191(1.145-1.24),1.094(1.051-1.139),1.074(1.031-1.118),1.031(0.99-1.074),0.302189399
Level 3,R03C,Adrenergics for systemic use,全身用的肾上腺素能药物,cancer,<0.001,<0.001,<0.001,0.014,0.014281855,47332(10.67%),2345(11.71%),1.113(1.068-1.16),1.131(1.085-1.179),1.097(1.053-1.144),1.055(1.011-1.101),0.061022473
Level 3,R03D,Other systemic drugs for obstructive airway diseases,治疗阻塞性气道疾病的其他全身性药物,cancer,<0.001,0.01,0.039,0.34,0.340199603,49463(10.7%),214(13.11%),1.296(1.133-1.482),1.193(1.043-1.365),1.152(1.008-1.318),1.068(0.933-1.223),0.507599407
Level 3,R05D,"Cough suppressants, excluding combinations with expectorants",止咳药，不包括与祛痰药的联合使用,cancer,0.005,0.135,0.649,0.747,0.74700291,49394(10.7%),283(12.36%),1.181(1.051-1.328),1.093(0.973-1.229),1.028(0.914-1.155),0.981(0.872-1.103),0.826097335
Level 3,R06A,Antihistamines for systemic use,全身使用的抗组胺药,cancer,0.123,0.894,0.862,0.3,0.300338665,48150(10.73%),1527(10.3%),0.961(0.913-1.011),0.997(0.947-1.049),0.995(0.946-1.048),0.973(0.925-1.024),0.46281696
Level 3,S01A,Anti-infectives for topical use,局部使用的抗感染药,cancer,0.295,0.353,0.489,0.777,0.77739954,49340(10.71%),337(11.33%),1.059(0.951-1.179),1.052(0.945-1.171),1.039(0.933-1.156),1.016(0.912-1.131),0.849715776
Level 3,S01B,Anti-inflammatory agents for topical use,局部使用的抗炎剂,cancer,<0.001,<0.001,0.006,0.127,0.126785063,47731(10.64%),1946(12.74%),1.219(1.165-1.276),1.096(1.048-1.147),1.065(1.018-1.115),1.036(0.99-1.085),0.29067795
Level 3,S01C,Diagnostic agents,诊断剂,cancer,<0.001,<0.001,<0.001,0.005,0.005212015,49055(10.68%),622(13.75%),1.357(1.253-1.468),1.204(1.112-1.303),1.18(1.09-1.277),1.12(1.034-1.213),0.028819379
Level 3,S01E,Antiglaucoma preparations and miotics,抗青光眼制剂和miotics,cancer,<0.001,0.112,0.096,0.188,0.187601746,48924(10.67%),753(14.46%),1.407(1.31-1.512),1.06(0.986-1.139),1.063(0.989-1.143),1.05(0.977-1.128),0.352691282
Level 3,S01G,Miscellaneous ophthalmologicals,其他眼科药物,cancer,0.364,0.581,0.428,0.633,0.632949972,49521(10.71%),156(11.51%),1.076(0.919-1.259),1.045(0.893-1.223),1.066(0.911-1.247),1.039(0.888-1.216),0.735881684
Level 3,S01K,Surgical aids,手术辅助用品,cancer,0.066,0.45,0.373,0.173,0.172930689,49554(10.71%),123(12.28%),1.181(0.989-1.409),0.934(0.782-1.115),0.923(0.773-1.101),0.884(0.74-1.055),0.33685114
Level 3,S01X,Other ophthalmologicals,其他眼科药物,cancer,<0.001,0.035,0.024,0.123,0.123273221,49058(10.69%),619(12.97%),1.231(1.137-1.333),1.089(1.006-1.179),1.096(1.012-1.186),1.065(0.983-1.153),0.28969207
Level 3,S02B,Corticosteroids,皮质类固醇,cancer,<0.001,<0.001,<0.001,0.004,0.004274947,49020(10.68%),657(13.72%),1.353(1.253-1.461),1.201(1.112-1.297),1.179(1.092-1.274),1.12(1.036-1.21),0.026789665
Level 3,S03B,Corticosteroids and anti-infectives in combination,皮质类固醇和抗感染药物的组合,cancer,<0.001,<0.001,<0.001,<0.001,0.000771991,49157(10.68%),520(14.72%),1.472(1.35-1.605),1.259(1.155-1.373),1.23(1.128-1.341),1.161(1.064-1.267),0.008063021
Level 3,V03A,All other therapeutic products,所有其他治疗性产品,cancer,0.032,0.401,0.593,0.934,0.934232337,49551(10.71%),126(12.41%),1.21(1.016-1.442),1.078(0.905-1.284),1.049(0.881-1.249),0.993(0.833-1.183),0.965031205
Level 4,A01AB,Antiinfectives for local oral treatment,用于局部口服治疗的抗消毒剂,cancer,0.105,0.104,0.166,0.299,0.299463347,49533(10.71%),144(12.03%),1.145(0.972-1.348),1.145(0.973-1.349),1.122(0.953-1.322),1.091(0.926-1.284),0.554574808
Level 4,A01AC,Corticosteroids for local oral treatment,局部口服治疗的皮质激素类药物,cancer,0.23,0.313,0.348,0.582,0.581862797,49523(10.71%),154(11.63%),1.102(0.941-1.291),1.085(0.926-1.271),1.079(0.921-1.264),1.045(0.892-1.225),0.76726808
Level 4,A01AD,Other agents for local oral treatment,局部口服治疗的其他药物,cancer,<0.001,<0.001,<0.001,0.874,0.874386942,40355(10.09%),9322(14.65%),1.505(1.471-1.539),1.08(1.055-1.105),1.05(1.025-1.075),0.998(0.974-1.023),0.92692027
Level 4,A02BA,H2-receptor antagonists,H2受体拮抗剂,cancer,<0.001,0.01,0.286,0.878,0.878134992,48667(10.68%),1010(12.32%),1.168(1.098-1.244),1.085(1.019-1.155),1.035(0.972-1.101),1.005(0.944-1.07),0.92692027
Level 4,A02BC,Proton pump inhibitors,质子泵抑制剂,cancer,<0.001,<0.001,<0.001,0.042,0.041712562,43606(10.41%),6071(13.51%),1.339(1.304-1.376),1.11(1.08-1.14),1.073(1.044-1.102),1.03(1.001-1.059),0.173367837
Level 4,A02BX,Other drugs for peptic ulcer and gastroesophageal reflux disease (GERD),治疗消化性溃疡和胃食管反流病（GERD）的其他药物,cancer,<0.001,0.151,0.298,0.728,0.728471411,49341(10.7%),336(13.72%),1.311(1.178-1.46),1.082(0.972-1.204),1.059(0.951-1.179),1.019(0.915-1.135),0.861414225
Level 4,A03AA,"Synthetic anticholinergics, esters with tertiary amino group",合成的抗胆碱能药物，带有叔胺基的酯类,cancer,0.514,0.759,0.981,0.545,0.545012233,49350(10.71%),327(11.09%),1.037(0.93-1.156),1.017(0.912-1.134),1.001(0.898-1.116),0.967(0.867-1.078),0.763017126
Level 4,A03FA,Propulsives,推进剂,cancer,<0.001,0.001,0.009,0.063,0.062707318,49478(10.7%),199(13.63%),1.339(1.165-1.539),1.253(1.09-1.441),1.205(1.049-1.386),1.142(0.993-1.313),0.213890869
Level 4,A06AB,Bulk-forming laxatives,团状泻药,cancer,0.053,0.362,0.893,0.496,0.496322185,49498(10.71%),179(11.9%),1.156(0.998-1.339),1.071(0.924-1.24),1.01(0.872-1.17),0.95(0.82-1.101),0.732329375
Level 4,A06AC,Osmotically acting laxatives,渗透作用的泻药,cancer,0.001,0.827,0.782,0.85,0.84958682,49254(10.7%),423(12.64%),1.169(1.062-1.286),1.011(0.918-1.112),1.014(0.921-1.116),0.991(0.9-1.09),0.91125038
Level 4,A06AD,Contact laxatives,接触性泻药,cancer,0.001,0.325,0.523,0.832,0.831981343,49330(10.7%),347(12.32%),1.188(1.069-1.32),1.055(0.949-1.172),1.035(0.931-1.151),0.989(0.889-1.099),0.906748482
Level 4,A07DA,Intestinal antiinflammatory agents,肠道抗炎剂,cancer,<0.001,0.003,0.022,0.113,0.113267652,49458(10.7%),219(14.08%),1.363(1.193-1.556),1.22(1.068-1.393),1.168(1.022-1.333),1.114(0.975-1.272),0.354697783
Level 4,A07EA,Intestinal adsorbents,肠道吸附剂,cancer,<0.001,0.001,0.005,0.267,0.267132671,48214(10.67%),1463(12.49%),1.207(1.146-1.271),1.09(1.035-1.148),1.077(1.022-1.135),1.03(0.977-1.086),0.538312807
Level 4,A07EC,Aminosalicylic acid and similar agents,氨基水杨酸和类似药物,cancer,<0.001,<0.001,<0.001,<0.001,7.76E-05,49201(10.69%),476(14.3%),1.378(1.259-1.508),1.271(1.161-1.391),1.243(1.135-1.36),1.2(1.096-1.314),0.001032583
Level 4,A10BA,Biguanides,双胍类药物,cancer,<0.001,<0.001,<0.001,0.574,0.57379055,47779(10.6%),1898(14.35%),1.433(1.369-1.5),1.159(1.107-1.214),1.103(1.052-1.156),0.981(0.918-1.048),0.76726808
Level 4,A10BB,Sulfonylureas,磺酰脲类药物,cancer,<0.001,<0.001,<0.001,0.583,0.582662226,48891(10.66%),786(15.27%),1.536(1.431-1.648),1.187(1.106-1.274),1.133(1.055-1.216),1.023(0.944-1.107),0.76726808
Level 4,A10BG,Thiazolidinediones,噻唑烷二酮类药物,cancer,<0.001,0.011,0.136,0.819,0.819340049,49399(10.69%),278(15.21%),1.485(1.319-1.67),1.166(1.036-1.312),1.094(0.972-1.232),0.986(0.872-1.114),0.906748482
Level 4,A11AA,"Multivitamins, combinations",多种维生素，组合,cancer,0.27,0.717,0.403,0.336,0.336114098,48986(10.71%),691(10.7%),0.959(0.889-1.033),1.014(0.941-1.093),1.033(0.958-1.113),1.038(0.962-1.119),0.580560715
Level 4,A11BA, Multivitamins with minerals, 含矿物质的多种维生素,cancer,0.05,0.254,0.481,0.631,0.631220108,48219(10.72%),1458(10.44%),0.949(0.901-1),0.97(0.921-1.022),0.981(0.932-1.034),0.987(0.937-1.04),0.792002589
Level 4,A11CB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,维生素B1与维生素B6和或维生素B12结合使用,cancer,<0.001,<0.001,0.008,0.026,0.025973812,46627(10.65%),3050(11.83%),1.079(1.041-1.12),0.932(0.898-0.967),0.951(0.917-0.987),0.959(0.924-0.995),0.123375608
Level 4,A11CC,Vitamin D and analogues,维生素D和类似物,cancer,0.016,0.048,0.029,0.057,0.056698235,49455(10.71%),222(12.07%),1.176(1.03-1.341),1.142(1.001-1.304),1.159(1.015-1.322),1.137(0.996-1.297),0.213890869
Level 4,A11EA,"Vitamin B-complex, including combinations",维生素B群，包括组合物,cancer,0.164,0.034,0.093,0.186,0.185810397,49305(10.71%),372(11.46%),1.075(0.971-1.191),1.116(1.008-1.236),1.091(0.985-1.209),1.071(0.967-1.187),0.426082462
Level 4,A11GA,"Ascorbic acid (vitamin C), including combinations",抗坏血酸（维生素C），包括组合物,cancer,0.6,0.917,0.63,0.683,0.682937355,48824(10.7%),853(11.2%),1.018(0.952-1.09),1.004(0.938-1.074),1.017(0.95-1.088),1.014(0.948-1.085),0.838050355
Level 4,A11HA,Other plain vitamin preparations,其他普通维生素制剂,cancer,0.097,0.138,0.253,0.258,0.257728642,49451(10.72%),226(10.04%),0.895(0.786-1.02),0.906(0.795-1.032),0.927(0.813-1.056),0.927(0.814-1.057),0.535592333
Level 4,A12AA,Calcium,钙剂,cancer,0.951,0.014,0.031,0.015,0.015059757,49097(10.71%),580(10.61%),0.997(0.919-1.083),0.902(0.831-0.979),0.914(0.842-0.992),0.903(0.832-0.98),0.089174062
Level 4,A12AX,"Calcium, combinations with vitamin D and/or other drugs",钙，与维生素D和或其他药物的组合,cancer,0.007,0.054,0.148,0.037,0.037018581,48488(10.7%),1189(11.36%),1.083(1.022-1.147),0.944(0.891-1.001),0.958(0.904-1.015),0.94(0.887-0.996),0.158821656
Level 4,A12CB,"Iron, in combination with folic acid",铁，与叶酸结合使用,cancer,0.357,0.205,0.34,0.369,0.369073358,49358(10.71%),319(10.59%),0.95(0.851-1.06),0.931(0.834-1.04),0.948(0.849-1.058),0.951(0.852-1.061),0.606009341
Level 4,A12CC,Vitamin B12 (cyanocobalamin and analogues),维生素B12（氰钴胺和类似物）,cancer,0.168,0.304,0.447,0.446,0.44639757,49566(10.71%),111(9.63%),0.877(0.728-1.057),0.907(0.753-1.093),0.93(0.772-1.121),0.93(0.772-1.121),0.690359033
Level 4,A12CE,Folic acid and derivatives,叶酸和衍生物,cancer,0.268,0.248,0.389,0.452,0.452374082,49525(10.71%),152(12.04%),1.094(0.933-1.283),0.91(0.776-1.068),0.932(0.795-1.093),0.941(0.802-1.103),0.691560378
Level 4,B01AA,Vitamin K antagonists,维生素K拮抗剂,cancer,<0.001,0.021,0.061,0.677,0.676770078,48938(10.66%),739(15.52%),1.592(1.48-1.712),1.09(1.013-1.172),1.072(0.997-1.154),1.016(0.944-1.093),0.838050355
Level 4,B01AC,Platelet aggregation inhibitors excluding heparin,血小板聚集抑制剂，不包括肝素,cancer,<0.001,<0.001,<0.001,0.779,0.77859798,40046(10.05%),9631(14.75%),1.523(1.489-1.557),1.088(1.064-1.114),1.057(1.033-1.082),1.004(0.979-1.029),0.885072917
Level 4,B03AA,"Iron bivalent, oral preparations",二价铁，口服制剂,cancer,0.946,0.003,0.005,0.051,0.050677377,49401(10.71%),276(10.45%),1.004(0.892-1.13),1.195(1.061-1.345),1.183(1.051-1.332),1.126(1-1.268),0.200399674
Level 4,B03BA,Vitamin B12 and folic acid,维生素B12和叶酸,cancer,0.004,0.073,0.176,0.434,0.433630835,49356(10.7%),321(12.22%),1.174(1.052-1.311),1.106(0.991-1.234),1.079(0.967-1.204),1.045(0.936-1.166),0.678504718
Level 4,B03BB,Folic acid and derivatives,叶酸及其衍生物,cancer,<0.001,<0.001,0.001,0.023,0.022926005,49164(10.69%),513(13.3%),1.283(1.176-1.399),1.19(1.09-1.298),1.156(1.059-1.261),1.107(1.014-1.208),0.112931803
Level 4,C01AA,Digitalis glycosides,洋地黄苷类药物,cancer,<0.001,0.059,0.148,0.604,0.603997756,49487(10.7%),190(16.54%),1.802(1.562-2.077),1.147(0.995-1.323),1.111(0.963-1.282),1.039(0.9-1.198),0.777184805
Level 4,C01DA,Organic nitrates,有机硝酸盐,cancer,<0.001,<0.001,0.007,0.898,0.898305007,48821(10.64%),856(16.86%),1.708(1.596-1.827),1.168(1.091-1.25),1.098(1.026-1.175),1.005(0.937-1.077),0.940744614
Level 4,C01DX,Other vasodilators used in cardiac diseases,用于心脏疾病的其他血管扩张剂,cancer,<0.001,0.048,0.339,0.551,0.551165098,49436(10.69%),241(16.28%),1.651(1.455-1.874),1.137(1.001-1.29),1.064(0.937-1.208),0.962(0.846-1.093),0.763593312
Level 4,C01EB,Other cardiac preparations,其他心脏制剂,cancer,<0.001,0.483,0.698,0.578,0.577557147,44009(10.91%),5668(9.39%),0.853(0.83-0.877),1.01(0.982-1.038),0.995(0.967-1.023),0.992(0.965-1.02),0.76726808
Level 4,C02CA,Alpha-adrenoreceptor antagonists,α-肾上腺素受体拮抗剂,cancer,<0.001,<0.001,<0.001,<0.001,0.000961581,48704(10.63%),973(17.33%),1.737(1.63-1.851),1.223(1.148-1.304),1.189(1.115-1.268),1.116(1.045-1.19),0.009837708
